ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	PubMed ID	subunits(Protein name)	subunits(Gene name)	subunits(Gene name syn)	Disease comment	Subunits comment	Complex comment	SWISSPROT organism
5371	Grancalcin-sorcin complex	Human	None	human umbilical vein endothelial cells	P28676;P30626	25801;6717	MI:0019-coimmunoprecipitation;MI:0096-pull down;MI:0018-two hybrid	GO:0005509	calcium ion binding	16.17.01	calcium binding	12804766	Grancalcin;Sorcin	GCA;SRI	GCL;None	None	None	None	Homo sapiens (Human);Homo sapiens (Human)
5372	Sorcin homodimer complex	Human	SRI homodimer complex	None	P30626	6717	MI:0018-two hybrid	GO:0005515;GO:0005509	protein binding;calcium ion binding	16.01;16.17.01	protein binding;calcium binding	12804766	Sorcin	SRI	None	None	None	The penta-EF hand (PEF) family of calcium binding proteins includes grancalcin, peflin, sorcin, calpain large and small subunits as well as ALG-2. Heterodimerization, in addition to differential interactions with target proteins, might be a way to regulate and fine tune processes mediated by calcium binding proteins of the penta-EF hand type. The interaction of grancalcin with sorcin is approximately 17 times stronger than sorcin homodimerization.	Homo sapiens (Human)
5373	Chromatin remodeling complex (TACC2, TACC3, PCAF)	Human	None	None	O95359;Q92831;Q9Y6A5	10579;8850;10460	MI:0019- coimmunoprecipitation	GO:0006265	DNA topological change	10.01.09.05	DNA conformation modification (e.g. chromatin)	14767476	Transforming acidic coiled-coil-containing protein 2 ;Histone acetyltransferase KAT2B;Transforming acidic coiled-coil-containing protein 3	TACC2;KAT2B;TACC3	;PCAF;ERIC1	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
5375	EGR-EP300 complex	Human	None	None	P18146;Q09472	1958;2033	MI:0019- coimmunoprecipitation	GO:0006351	transcription, DNA-templated	11	TRANSCRIPTION	15225550	Early growth response protein 1 ;Histone acetyltransferase p300	EGR1;EP300	KROX24 ZNF225;P300	None	None	The results show that the interactions between p300/CBP and Egr1 can lead to complex feedback loops and to inhibition of Egr1 activities under specific conditions.	Homo sapiens (Human);Homo sapiens (Human)
5376	Rock1-Pfn2 complex	Rat	None	None	Q63644;Q9EPC6	81762;81531	MI:0019- coimmunoprecipitation	GO:0006461	protein complex assembly	14.1	assembly of protein complexes	15834419	Rho-associated protein kinase 1 ;Profilin-2	Rock1;Pfn2	;	None	None	None	Rattus norvegicus (Rat);Rattus norvegicus (Rat)
5377	RNA-induced silencing complex, RISC	Human	TRBP containing complex (DICER, TRBP, AGO2)	HEK 293 cells	Q15633;Q9UKV8;Q9UPY3	6895;27161;23405	MI:0071- molecular sieving; MI:0096- pull down	GO:0032774;GO:0006396;GO:0003723	RNA biosynthetic process;RNA processing;RNA binding	11.02;11.04;16.03.03	RNA synthesis;RNA processing;RNA binding	17507929	RISC-loading complex subunit TARBP2 ;Protein argonaute-2 ;Endoribonuclease Dicer	TARBP2;AGO2;DICER1	TRBP;EIF2C2;DICER HERNA KIAA0928	None	None	The authors describe this complex as minimal Dicer-TRBP-AGO2 complex.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
5378	TRBP containing complex (DICER, TRBP, AGO2, RPL7A, EIF6, MOV10)	Human	None	HEK 293 cells	P56537;P62424;Q15633;Q9HCE1;Q9UKV8;Q9UPY3	3692;6130;6895;4343;27161;23405	MI:0071- molecular sieving; MI:0096- pull down	GO:0032774;GO:0006396;GO:0003723	RNA biosynthetic process;RNA processing;RNA binding	11.02;11.04;16.03.03	RNA synthesis;RNA processing;RNA binding	17507929	Eukaryotic translation initiation factor 6 ;60S ribosomal protein L7a;RISC-loading complex subunit TARBP2 ;Putative helicase MOV-10 ;Protein argonaute-2 ;Endoribonuclease Dicer	EIF6;RPL7A;TARBP2;MOV10;AGO2;DICER1	EIF3A ITGB4BP;SURF-3 SURF3;TRBP;KIAA1631;EIF2C2;DICER HERNA KIAA0928	None	None	The authors show that depletion of eIF6 in human cells specifically abrogates miRNA-mediated regulation of target protein and mRNA levels.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
5379	Kcna2-Kcnab2 complex	Rat	None	None	P62483;P63142	29738;25468	MI:0019- coimmunoprecipitation; MI:0027- cosedimentation	GO:0008324;GO:0006812;GO:0015267	cation transmembrane transporter activity;cation transport;channel activity	20.01.01.01;20.03.01	cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.);channel / pore class transport	8608002	Voltage-gated potassium channel subunit beta-2 ;Potassium voltage-gated channel subfamily A member 2	Kcnab2;Kcna2	Ckbeta2 Kcnb3;	None	None	None	Rattus norvegicus (Rat);Rattus norvegicus (Rat)
5380	TRBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)	Human	None	HEK 293 cells	P05386;P05387;P18077;P18124;P26373;P30050;P46778;P46779;P49207;P50914;P56537;P61313;P61353;P61513;P62424;P62888;P62906;P62910;P62913;P84098;Q02543;Q9HCE1;Q9UHA3;Q9UPY3;Q9Y3U8	6176;6181;6165;6129;6137;6136;6144;6158;6164;9045;3692;6138;6155;6168;6130;6156;4736;6161;6135;6143;6142;4343;51187;23405;25873	MI:0071- molecular sieving; MI:0096- pull down	GO:0032774;GO:0006417;GO:0003723	RNA biosynthetic process;regulation of translation;RNA binding	11.02;12.07;16.03.03	RNA synthesis;translational control;RNA binding	17507929	60S acidic ribosomal protein P1;60S acidic ribosomal protein P2;60S ribosomal protein L35a;60S ribosomal protein L7;60S ribosomal protein L13;60S ribosomal protein L12;60S ribosomal protein L21;60S ribosomal protein L28;60S ribosomal protein L34;60S ribosomal protein L14;Eukaryotic translation initiation factor 6 ;60S ribosomal protein L15;60S ribosomal protein L27;60S ribosomal protein L37a;60S ribosomal protein L7a;60S ribosomal protein L30;60S ribosomal protein L10a;60S ribosomal protein L32;60S ribosomal protein L11;60S ribosomal protein L19;60S ribosomal protein L18a;Putative helicase MOV-10 ;Probable ribosome biogenesis protein RLP24 ;Endoribonuclease Dicer ;60S ribosomal protein L36	RPLP1;RPLP2;RPL35A;RPL7;RPL13;RPL12;RPL21;RPL28;RPL34;RPL14;EIF6;RPL15;RPL27;RPL37A;RPL7A;RPL30;RPL10A;RPL32;RPL11;RPL19;RPL18A;MOV10;RSL24D1;DICER1;RPL36	RRP1;D11S2243E RPP2;None;None;BBC1;None;None;None;None;None;EIF3A ITGB4BP;EC45;None;None;SURF-3 SURF3;None;NEDD6;None;None;None;None;KIAA1631;C15orf15 RPL24L;DICER HERNA KIAA0928;None	None	None	In mass spectrometric sequencing analyses the authors showed that in addition to RISC subunits they obtained protein sequences corresponding to nearly all subunits of the large (60S) ribosomal particle. The ability of eIF6 to inhibit joining of the 60S and 40S subunits of the ribosome and, thus, to prevent formation of a translationally competent complex, raises the possibility that eIF6 may repress translation by blocking initiation or ribosome recycling.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
5381	RNA-induced silencing complex, RISC	Human	TRBP containing complex (DICER, TRBP, AGO2)	HEK 293 cells	Q15633;Q9UKV8;Q9UPY3	6895;27161;23405	MI:0096- pull down; MI:0071- molecular sieving	GO:0032774;GO:0006396;GO:0003723;GO:0005737	RNA biosynthetic process;RNA processing;RNA binding;cytoplasm	11.02;11.04;16.03.03;70.03	RNA synthesis;RNA processing;RNA binding;cytoplasm	16271387	RISC-loading complex subunit TARBP2 ;Protein argonaute-2 ;Endoribonuclease Dicer	TARBP2;AGO2;DICER1	TRBP;EIF2C2;DICER HERNA KIAA0928	None	None	The authors demonstrated that this complex can cleave target RNA using precursor microRNA (pre-miRNA) hairpin as the source of siRNA.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
5382	ARNT-HIF1A complex	Human	None	None	P27540;Q16665	405;3091	MI:0019- coimmunoprecipitation	GO:0045893;GO:0005634	positive regulation of transcription, DNA-templated;nucleus	11.02.03.04.01;70.10	transcription activation;nucleus	8663540	Aryl hydrocarbon receptor nuclear translocator ;Hypoxia-inducible factor 1-alpha	ARNT;HIF1A	BHLHE2;BHLHE78 MOP1 PASD8	None	None	None	Homo sapiens (Human);Homo sapiens (Human)
5383	TRIB3-DDIT3 complex	Human	None	None	P35638;Q96RU7	1649;57761	MI:0019- coimmunoprecipitation	GO:2001141;GO:0006355	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated	11.02.03.04	transcriptional control	15775988	DNA damage-inducible transcript 3 protein ;Tribbles homolog 3	DDIT3;TRIB3	CHOP CHOP10 GADD153;C20orf97 NIPK SKIP3 TRB3	None	None	None	Homo sapiens (Human);Homo sapiens (Human)
5384	RAG1-RAG2 tetramer complex	Human	None	None	P15918;P55895	5896;5897	MI:0004- affinity chromatography technologies	GO:0006310	DNA recombination	10.01.05.03	DNA recombination	10373515	V;V	RAG1;RAG2	RNF74;	None	None	None	Homo sapiens (Human);Homo sapiens (Human)
5385	GAIT complex	Human	None	None	O60506;P04406;P07814;P40429	10492;2597;2058;23521	MI:0004- affinity chromatography technologies	GO:0006417	regulation of translation	12.07	translational control	15479637	Heterogeneous nuclear ribonucleoprotein Q;Glyceraldehyde-3-phosphate dehydrogenase;Bifunctional glutamate/proline--tRNA ligase ;60S ribosomal protein L13a	SYNCRIP;GAPDH;EPRS;RPL13A	HNRPQ NSAP1;GAPD;GLNS PARS QARS QPRS;None	None	None	None	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
5386	MLL1-WDR5 complex	Human	None	None	O00268;O43451;O75461;P21675;P34932;P49848;P51610;P61964;Q03164;Q15291;Q15545;Q16594;Q6PI98;Q7Z3B3;Q8IXM2;Q8IZL8;Q8WWY3;Q96EZ8;Q99496;Q9BVI0;Q9H4L4;Q9H7Z6;Q9HCK8;Q9NXF1;Q9UBL3;Q9Y265;Q9Y4W2	6874;8972;1876;6872;3308;6878;3054;11091;4297;5929;6879;6880;125476;284058;124944;27043;26121;10445;6045;51230;26168;84148;57680;54881;9070;8607;81887	MI:0226- ion exchange chromatography; MI:0007- anti tag coimmunoprecipitation	GO:0006265;GO:0045893;GO:0018126;GO:0006479;GO:0005634	DNA topological change;positive regulation of transcription, DNA-templated;protein hydroxylation;protein methylation;nucleus	10.01.09.05;11.02.03.04.01;14.07.09;70.10	DNA conformation modification (e.g. chromatin);transcription activation;posttranslational modification of amino acids (e.g. hydroxylation, methylation);nucleus	15960975	Transcription initiation factor TFIID subunit 4;Maltase-glucoamylase, intestinal [Includes: Maltase ;Transcription factor E2F6 ;Transcription initiation factor TFIID subunit 1;Heat shock 70 kDa protein 4;Transcription initiation factor TFIID subunit 6;Host cell factor 1;WD repeat-containing protein 5;Histone-lysine N-methyltransferase 2A;Retinoblastoma-binding protein 5;Transcription initiation factor TFIID subunit 7;Transcription initiation factor TFIID subunit 9;INO80 complex subunit C ;KAT8 regulatory NSL complex subunit 1 ;Chromatin complexes subunit BAP18 ;Proline-, glutamic acid- and leucine-rich protein 1 ;U4/U6 small nuclear ribonucleoprotein Prp31 ;Microspherule protein 1 ;E3 ubiquitin-protein ligase RING2;PHD finger protein 20 ;Sentrin-specific protease 3 ;Histone acetyltransferase KAT8 ;Chromodomain-helicase-DNA-binding protein 8 ;Testis-expressed sequence 10 protein;Set1/Ash2 histone methyltransferase complex subunit ASH2;RuvB-like 1;Ribosomal biogenesis protein LAS1L	TAF4;MGAM;E2F6;TAF1;HSPA4;TAF6;HCFC1;WDR5;KMT2A;RBBP5;TAF7;TAF9;INO80C;KANSL1;BAP18;PELP1;PRPF31;MCRS1;RNF2;PHF20;SENP3;KAT8;CHD8;TEX10;ASH2L;RUVBL1;LAS1L	TAF2C TAF2C1 TAF4A TAFII130 TAFII135;MGA MGAML;;BA2R CCG1 CCGS TAF2A;APG2;TAF2E TAFII70;HCF1, HFC1;BIG3;ALL1, CXXC7, HRX, HTRX, MLL, MLL1, TRX1;RBQ3;TAF2F TAFII55;TAF2G TAFII31;C18orf37;CENP-36 KIAA1267 MSL1V1 NSL1;C17orf49;HMX3 MNAR;PRP31;INO80Q MSP58;BAP1 DING HIPI3 RING1B;C20orf104 GLEA2 HCA58 NZF TZP;SSP3 SUSP3;MOF MYST1;HELSNF1 KIAA1564;;ASH2L1;INO80H NMP238 TIP49 TIP49A;	The MLL1 subunit is the product of a protooncogene that was first detected through chromosomal translocations directly associated with aggressive lymphoid and myeloid acute leukemias, especially among infants.	The apparent size of the MOF-containing MLL1-WDR5 complex is around 1.5 MDa.	The MLL1-WDR5 complex has a robust MLL1-mediated histone methyltransferase activity that can effect mono-, di-, and trimethylation of H3 K4 and a MOF-mediated histone acetyltransferase activity that is specific for H4 K16. Both activities are required for optimal transcription activation on a chromatin template in vitro and on an endogenous MLL1 target gene, Hox a9, in vivo.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
5388	SERPINA1-ELA2 complex	Human	None	None	P01009;P08246	5265;1991	MI:0107- surface plasmon resonance	GO:0016485	protein processing	14.07.11	protein processing (proteolytic)	15131125	Alpha-1-antitrypsin ;Neutrophil elastase	SERPINA1;ELANE	AAT PI;ELA2	None	None	None	Homo sapiens (Human);Homo sapiens (Human)
5389	SERPINA3-CTSG complex	Human	None	None	P01011;P08311	12;1511	MI:0107- surface plasmon resonance	GO:0016485	protein processing	14.07.11	protein processing (proteolytic)	15131125	Alpha-1-antichymotrypsin ;Cathepsin G	SERPINA3;CTSG	AACT;	None	None	None	Homo sapiens (Human);Homo sapiens (Human)
5391	SERPINA1-CTSG complex	Human	None	None	P01009;P08311	5265;1511	MI:0107- surface plasmon resonance	GO:0016485	protein processing	14.07.11	protein processing (proteolytic)	15131125	Alpha-1-antitrypsin ;Cathepsin G	SERPINA1;CTSG	AAT PI;	None	None	None	Homo sapiens (Human);Homo sapiens (Human)
5400	BRCC complex	Human	None	None	P38398;P46736;P51587;Q06609;Q9NXR7	672;79184;675;5888;9577	MI:0004- affinity chromatography technologies	GO:0006281;GO:0000075;GO:0016567;GO:0016579;GO:0006974;GO:0005634	DNA repair;cell cycle checkpoint;protein ubiquitination;protein deubiquitination;cellular response to DNA damage stimulus;nucleus	10.01.05.01;10.03.01.03;14.07.05;32.01.09;70.10	DNA repair;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);modification by ubiquitination, deubiquitination;DNA damage response;nucleus	14636569	Breast cancer type 1 susceptibility protein;Lys-63-specific deubiquitinase BRCC36 ;Breast cancer type 2 susceptibility protein ;DNA repair protein RAD51 homolog 1 ;BRCA1-A complex subunit BRE	BRCA1;BRCC3;BRCA2;RAD51;BRE	RNF53;BRCC36 C6.1A CXorf53;FACD FANCD1;RAD51A RECA;BRCC45	BRCA1 or BRCA2 genes and their deleterious alleles are involved in breast cancer and ovarian cancer.	None	BRCC may not play a direct role in DNA repair, but through its E3 ubiquitin ligase activity BRCC can regulate factors involved in DNA repair. BRE and BRCC36 are regulatory subunits modulating the ligase activity of the BRCC complex.	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)
5401	PLEKHM2-KIF5B complex	Human	SKIP-kinesin complex	HeLa cells	P33176;Q8IWE5	3799;23207	MI:0096- pull down	GO:0006928	movement of cell or subcellular component	34.05	cell motility	15905402	Kinesin-1 heavy chain;Pleckstrin homology domain-containing family M member 2	KIF5B;PLEKHM2	KNS, KNS1;KIAA0842 SKIP	None	None	During Salmonella typhimurium infection SKIP acts as an essential mediator of SifA (a S. thyphimurium protein, required for the formation of Salmonella-induced filaments). A dynamic process of kinesin recruitment in Salmonella-infected cells is mediated by the secretion of unidentified SPI-2 TTSS effectors and is down-regulated by the SifA-mediated recruitment of SKIP on membranes. The authors suggest that S. typhimurium is able to fine-tune the SCV-associated kinesin motor activity by regulating the secretion of its own effector proteins.	Homo sapiens (Human);Homo sapiens (Human)
5402	Cdk5-Cdk5r1-Pctk1 complex	Mouse	None	None	P49615;P61809;Q04735	12568;12569;18555	MI:0096- pull down	GO:0019209	kinase activator activity	18.02.01.01.05	kinase activator	12084709	Cyclin-dependent-like kinase 5 ;Cyclin-dependent kinase 5 activator 1 ;Cyclin-dependent kinase 16	Cdk5;Cdk5r1;Cdk16	Cdkn5 Crk6;Cdk5r Nck5a;Crk5 Pctaire1 Pctk1	None	None	The authors show that Pctaire1 can be phosphorylated by the Cdk5/p25 complex, and serine 95 is the major phosphorylation site. In brain and muscle of Cdk5 None mice, Pctaire1 activity is significantly reduced.	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)
5404	Myod1-Tcf3 complex	Mouse	None	None	P10085;P15806	17927;21423	MI:0413- electrophoretic mobility shift assay	GO:2001141;GO:0006355;GO:0003677;GO:0007519	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding;skeletal muscle tissue development	11.02.03.04;16.03.01;41.05.15	transcriptional control;DNA binding;myogenesis	15719023	Myoblast determination protein 1;Transcription factor E2-alpha	Myod1;Tcf3	Myod;Alf2 Me2 Tcfe2a	None	None	None	Mus musculus (Mouse);Mus musculus (Mouse)
5405	Myod1 homodimer complex	Mouse	None	None	P10085	17927	MI:0053- fluorescence polarization spectroscopy	GO:0045893;GO:0003677	positive regulation of transcription, DNA-templated;DNA binding	11.02.03.04.01;16.03.01	transcription activation;DNA binding	9184158	Myoblast determination protein 1	Myod1	Myod	None	None	None	Mus musculus (Mouse)
5406	Myod1-Tcf3 complex	Mouse	None	None	P10085;P15806	17927;21423	MI:0053- fluorescence polarization spectroscopy	GO:0003677;GO:0007519	DNA binding;skeletal muscle tissue development	16.03.01;41.05.15	DNA binding;myogenesis	9184158	Myoblast determination protein 1;Transcription factor E2-alpha	Myod1;Tcf3	Myod;Alf2 Me2 Tcfe2a	None	None	None	Mus musculus (Mouse);Mus musculus (Mouse)
5407	NGF-TrkA complex	Human	None	None	P01138;P04629	4803;4914	MI:0114- x-ray crystallography	GO:0007169;GO:0022008;GO:0048699;GO:0007399	transmembrane receptor protein tyrosine kinase signaling pathway;neurogenesis;generation of neurons;nervous system development	30.05.01.12;41.05.13;47.03.01	transmembrane receptor protein tyrosine kinase signalling pathways;neurogenesis;nervous system	10490030	Beta-nerve growth factor ;High affinity nerve growth factor receptor	NGF;NTRK1	NGFB;MTC TRK TRKA	None	None	None	Homo sapiens (Human);Homo sapiens (Human)
5408	Neurotrophin-3-p75 complex	Human	None	None	P08138;P20783	4804;4908	MI:0114- x-ray crystallography	GO:0007169;GO:0022008;GO:0048699;GO:0007399	transmembrane receptor protein tyrosine kinase signaling pathway;neurogenesis;generation of neurons;nervous system development	30.05.01.12;41.05.13;47.03.01	transmembrane receptor protein tyrosine kinase signalling pathways;neurogenesis;nervous system	18596692	Tumor necrosis factor receptor superfamily member 16 ;Neurotrophin-3	NGFR;NTF3	TNFRSF16;	None	None	None	Homo sapiens (Human);Homo sapiens (Human)
